# Time X0 Y0 Z0 X1 Y1 Z1 X2 Y2 Z2 X3 Y3 Z3 X4 Y4 Z4
2.05000019 -0.02028552 -0.25414705 0.00000000 -0.19630237 0.16268903 0.00000000 0.24596395 0.06711224 0.00000000 -0.08646944 -0.23984468 0.00000000 -0.14655447 0.20862433 0.00000000
2.06000018 -0.04525385 -0.24918552 0.00000000 -0.18145944 0.17667435 0.00000000 0.24788752 0.05189538 0.00000000 -0.09535369 -0.23462543 0.00000000 -0.14140703 0.21010815 0.00000000
2.07000017 -0.06944033 -0.24180526 0.00000000 -0.16565223 0.18934399 0.00000000 0.24888848 0.03669225 0.00000000 -0.10396454 -0.22909223 0.00000000 -0.13626544 0.21147940 0.00000000
2.08000016 -0.09261419 -0.23211230 0.00000000 -0.14899442 0.20063448 0.00000000 0.24897537 0.02155767 0.00000000 -0.11229151 -0.22325814 0.00000000 -0.13113169 0.21273935 0.00000000
2.09000015 -0.11455780 -0.22023351 0.00000000 -0.13160396 0.21049166 0.00000000 0.24816024 0.00654553 0.00000000 -0.12032481 -0.21713682 0.00000000 -0.12600811 0.21388853 0.00000000
2.10000014 -0.13506867 -0.20631650 0.00000000 -0.11360174 0.21887156 0.00000000 0.24645756 -0.00829147 0.00000000 -0.12805511 -0.21074162 0.00000000 -0.12089680 0.21492812 0.00000000
2.11000013 -0.15396130 -0.19052701 0.00000000 -0.09511120 0.22573996 0.00000000 0.24388552 -0.02290194 0.00000000 -0.13547392 -0.20408721 0.00000000 -0.11579972 0.21585895 0.00000000
2.12000012 -0.17106885 -0.17304720 0.00000000 -0.07625699 0.23107316 0.00000000 0.24046481 -0.03723601 0.00000000 -0.14257321 -0.19718741 0.00000000 -0.11071914 0.21668234 0.00000000
2.13000011 -0.18624440 -0.15407372 0.00000000 -0.05716461 0.23485717 0.00000000 0.23621938 -0.05124546 0.00000000 -0.14934556 -0.19005695 0.00000000 -0.10565686 0.21739909 0.00000000
2.14000010 -0.19936211 -0.13381548 0.00000000 -0.03795931 0.23708858 0.00000000 0.23117498 -0.06488393 0.00000000 -0.15578429 -0.18271062 0.00000000 -0.10061503 0.21801034 0.00000000
2.15000010 -0.21031858 -0.11249154 0.00000000 -0.01876553 0.23777334 0.00000000 0.22536090 -0.07810689 0.00000000 -0.16188335 -0.17516311 0.00000000 -0.09559558 0.21851727 0.00000000
2.16000009 -0.21903323 -0.09032848 0.00000000 0.00029410 0.23692760 0.00000000 0.21880819 -0.09087204 0.00000000 -0.16763718 -0.16742943 0.00000000 -0.09060042 0.21892092 0.00000000
2.17000008 -0.22544868 -0.06755852 0.00000000 0.01909941 0.23457727 0.00000000 0.21155035 -0.10313919 0.00000000 -0.17304096 -0.15952474 0.00000000 -0.08563137 0.21922266 0.00000000
2.18000007 -0.22953174 -0.04441658 0.00000000 0.03753343 0.23075724 0.00000000 0.20362316 -0.11487068 0.00000000 -0.17809060 -0.15146418 0.00000000 -0.08069037 0.21942374 0.00000000
2.19000006 -0.23127228 -0.02113835 0.00000000 0.05548316 0.22551121 0.00000000 0.19506374 -0.12603100 0.00000000 -0.18278256 -0.14326303 0.00000000 -0.07577918 0.21952520 0.00000000
2.20000005 -0.23068424 0.00204230 0.00000000 0.07284017 0.21889199 0.00000000 0.18591198 -0.13658741 0.00000000 -0.18711373 -0.13493650 0.00000000 -0.07089952 0.21952829 0.00000000
2.21000004 -0.22780414 0.02489557 0.00000000 0.08950119 0.21095981 0.00000000 0.17620845 -0.14650965 0.00000000 -0.19108197 -0.12649986 0.00000000 -0.06605325 0.21943460 0.00000000
2.22000003 -0.22269106 0.04719795 0.00000000 0.10536890 0.20178279 0.00000000 0.16599564 -0.15577029 0.00000000 -0.19468549 -0.11796832 0.00000000 -0.06124199 0.21924506 0.00000000
2.23000002 -0.21542557 0.06873440 0.00000000 0.12035229 0.19143640 0.00000000 0.15531744 -0.16434440 0.00000000 -0.19792336 -0.10935712 0.00000000 -0.05646742 0.21896134 0.00000000
2.24000001 -0.20610867 0.08930038 0.00000000 0.13436723 0.18000221 0.00000000 0.14421850 -0.17221023 0.00000000 -0.20079514 -0.10068136 0.00000000 -0.05173115 0.21858476 0.00000000
2.25000000 -0.19486046 0.10870365 0.00000000 0.14733678 0.16756773 0.00000000 0.13274474 -0.17934862 0.00000000 -0.20330083 -0.09195612 0.00000000 -0.04703480 0.21811673 0.00000000
2.25999999 -0.18181852 0.12676625 0.00000000 0.15919188 0.15422583 0.00000000 0.12094237 -0.18574336 0.00000000 -0.20544122 -0.08319616 0.00000000 -0.04237987 0.21755840 0.00000000
2.27000022 -0.16713670 0.14332579 0.00000000 0.16987135 0.14007385 0.00000000 0.10885867 -0.19138131 0.00000000 -0.20721772 -0.07441641 0.00000000 -0.03776789 0.21691164 0.00000000
2.28000021 -0.15098311 0.15823711 0.00000000 0.17932259 0.12521316 0.00000000 0.09654108 -0.19625175 0.00000000 -0.20863239 -0.06563139 0.00000000 -0.03320033 0.21617746 0.00000000
